task_id,action,action_name,success,delay_s,energy_j,deadline_window_s,deadline_tightness,cpu_cycles,data_size_kb,priority,queue_delay_s
224,1,edge_25,False,0.825630243,0.08331316824107197,0.6715224154177122,1.2294902210917664,1064984452,1031,1,0.0
224,2,edge_50,True,0.55938413,0.06002967757345874,0.6715224154177122,0.8330088723129846,1064984452,1031,1,0.0
224,3,edge_75,True,0.44636116202028375,0.036674655560141864,0.6715224154177122,0.664700316433414,1064984452,1031,1,0.0
224,4,edge_100,True,0.5701386800152889,0.014117143807644462,0.6715224154177122,0.8490240488258924,1064984452,1031,1,0.0
224,5,cloud,True,0.5897875147849726,0.013395312192486306,0.6715224154177122,0.8782841812035457,1064984452,1031,1,0.0
225,0,local,False,0.635993053,0.06359930529999999,0.3305497704714071,1.9240462702272971,635993053,405,1,0.0
225,1,edge_25,False,0.49363030975,0.04866159065141476,0.3305497704714071,1.4933615263021323,635993053,405,1,0.0
225,2,edge_50,False,0.3346320465,0.03376820630416459,0.3305497704714071,1.012349958745308,635993053,405,1,0.0
225,3,edge_75,True,0.2609559156381684,0.01881132670658419,0.3305497704714071,0.7894602838961625,635993053,405,1,0.0
225,4,edge_100,False,0.33157502121265714,0.003878031356328572,0.3305497704714071,1.003101653163419,635993053,405,1,0.0
225,5,cloud,False,0.4851034711717831,0.0039524302858915394,0.3305497704714071,1.4675655967933732,635993053,405,1,0.0
226,0,local,True,0.08602321,0.008602321,0.11999999999534339,0.7168600833611511,86023210,106,0,0.0
226,1,edge_25,True,0.0762541115,0.006783169722828477,0.11999999999534339,0.6354509291913254,86023210,106,0,0.0
226,2,edge_50,True,0.054748309,0.0049677257218142985,0.11999999999534339,0.4562359083510376,86023210,106,0,0.0
226,3,edge_75,True,0.0459511638332473,0.003128458291623651,0.11999999999534339,0.3829263652919203,86023210,106,0,0.0
226,4,edge_100,True,0.049766831609218576,0.001323690104609289,0.11999999999534339,0.41472359675958154,86023210,106,0,0.0
226,5,cloud,False,0.3698050142280334,0.0013001861140167163,0.11999999999534339,3.0817084520198645,86023210,106,0,0.0
227,0,local,False,1.471033287,0.14710332869999998,0.5737206414050888,2.564023639444659,1471033287,1755,3,0.0
227,1,edge_25,False,1.1438938772422405,0.11370752436320694,0.5737206414050888,1.9938168416613888,1471033287,1755,3,0.0
227,2,edge_50,False,0.7761355554922403,0.08019570763276014,0.5737206414050888,1.352810931800224,1471033287,1755,3,0.0
227,3,edge_75,False,0.6123462422699291,0.04682075600134438,0.5737206414050888,1.0673247536819366,1471033287,1755,3,0.0
227,4,edge_100,False,0.7765285448397975,0.013397641071256704,0.5737206414050888,1.3534959156045274,1471033287,1755,3,0.0
227,5,cloud,False,0.670853331062658,0.013323336831329004,0.5737206414050888,1.169303111388294,1471033287,1755,3,0.0
228,0,local,True,0.04,0.003999999999999999,0.11999999999534339,0.33333333334626836,40000000,106,0,0.0
228,1,edge_25,True,0.041736704,0.003231291788689064,0.11999999999534339,0.34780586668016333,40000000,106,0,0.0
228,2,edge_50,True,0.031736704000000004,0.002464480083607612,0.11999999999534339,0.26447253334359627,40000000,106,0,0.0
228,3,edge_75,True,0.028118189401319226,0.0016907427006596126,0.11999999999534339,0.2343182450200863,40000000,106,0,0.0
228,4,edge_100,True,0.025942920044807524,0.0009175368224037621,0.11999999999534339,0.21619100038178535,40000000,106,0,0.0
228,5,cloud,False,0.35982424042210676,0.0009121202110533973,0.11999999999534339,2.9985353369672483,40000000,106,0,0.0
229,0,local,False,1.578551886,0.15785518859999997,0.6230665651528398,2.5335204523657557,1578551886,2271,3,0.0
229,1,edge_25,False,1.2139139145,0.12416306485647402,0.6230665651528398,1.9482892878423415,1578551886,2271,3,0.0
